sample_id,sid,name,time,date,year,month,hour,basin,nature,lat,lon,wind_kt,pres_hpa,source,experiment,label_tc,candidate_lat,candidate_lon,matched_sid,matched_name,label_distance_km,split
IBT_1991181N26282_1991070100,1991181N26282,ANA,1991-07-01 00:00:00,1991-07-01,1991,7,0,NA,DS,27.299999237060547,277.29998779296875,20.0,1012.0,IBTRACS_ERA5,OBS,1,27.299999237060547,277.29998779296875,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070106,1991181N26282,ANA,1991-07-01 06:00:00,1991-07-01,1991,7,6,NA,DS,28.0,277.29998779296875,20.0,1012.0,IBTRACS_ERA5,OBS,1,28.0,277.29998779296875,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070112,1991181N26282,ANA,1991-07-01 12:00:00,1991-07-01,1991,7,12,NA,DS,28.700000762939453,277.5,20.0,1012.0,IBTRACS_ERA5,OBS,1,28.700000762939453,277.5,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070118,1991181N26282,ANA,1991-07-01 18:00:00,1991-07-01,1991,7,18,NA,DS,29.299999237060547,277.79998779296875,20.0,1012.0,IBTRACS_ERA5,OBS,1,29.299999237060547,277.79998779296875,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070200,1991181N26282,ANA,1991-07-02 00:00:00,1991-07-02,1991,7,0,NA,DS,29.899999618530273,278.3999938964844,20.0,1012.0,IBTRACS_ERA5,OBS,1,29.899999618530273,278.3999938964844,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070206,1991181N26282,ANA,1991-07-02 06:00:00,1991-07-02,1991,7,6,NA,DS,30.399999618530273,279.0,20.0,1012.0,IBTRACS_ERA5,OBS,1,30.399999618530273,279.0,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070212,1991181N26282,ANA,1991-07-02 12:00:00,1991-07-02,1991,7,12,NA,DS,30.899999618530273,279.70001220703125,20.0,1012.0,IBTRACS_ERA5,OBS,1,30.899999618530273,279.70001220703125,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070218,1991181N26282,ANA,1991-07-02 18:00:00,1991-07-02,1991,7,18,NA,TS,31.299999237060547,280.29998779296875,25.0,1012.0,IBTRACS_ERA5,OBS,1,31.299999237060547,280.29998779296875,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070300,1991181N26282,ANA,1991-07-03 00:00:00,1991-07-03,1991,7,0,NA,TS,31.5,281.0,25.0,1011.0,IBTRACS_ERA5,OBS,1,31.5,281.0,1991181N26282,ANA,0.0,train
IBT_1991181N26282_1991070306,1991181N26282,ANA,1991-07-03 06:00:00,1991-07-03,1991,7,6,NA,TS,32.5,282.6000061035156,25.0,1010.0,IBTRACS_ERA5,OBS,1,32.5,282.6000061035156,1991181N26282,ANA,0.0,train
