method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
ML,ML_CTL_60_0006,CTL,60,47,868,916,49,47,0,830.707654621514,1778.5385854019257,14.210526466369627,48.31578826904297,297.5,327.5,0.8659700394689149
ML,ML_CTL_31_0003,CTL,31,45,843,888,46,40,0,1034.7727217819431,1463.330638036738,12.315789473684204,19.89473684210526,265.0,330.0,0.7275007324503365
ML,ML_GGW_92_0012,GGW,92,39,988,1026,39,39,0,807.608441917224,1423.7584061360783,16.105262756347656,38.84210586547852,312.5,340.0,0.8074722029143866
ML,ML_CTL_34_0002,CTL,34,34,824,859,36,17,0,3432.180729681614,4955.63593214452,40.73684310913086,48.31578826904297,260.0,317.5,0.8558589414170484
ML,ML_GGW_96_0014,GGW,96,32,947,978,32,32,0,887.478789931276,2264.911042581559,12.315789222717283,27.47368431091309,302.5,335.0,0.7908213043610727
ML,ML_CTL_39_0005,CTL,39,30,836,865,30,29,0,844.81608532317,1390.3090737897066,16.105262756347656,31.263158798217773,297.5,330.0,0.7861760376774611
ML,ML_CTL_36_0013,CTL,36,29,1005,1033,29,29,0,827.4613470553397,1622.4526433695605,14.210526466369627,36.94736862182617,330.0,342.5,0.7998419284691549
ML,ML_CTL_43_0002,CTL,43,29,809,837,29,29,0,927.2213918390178,2727.844131311317,12.315789222717283,19.894737243652344,285.0,327.5,0.6977842728726987
ML,ML_CTL_48_0001,CTL,48,28,735,762,28,17,0,983.687883976127,1374.7894810808714,8.526315689086914,12.315789222717283,295.0,332.5,0.7609999343433316
ML,ML_CTL_54_0012,CTL,54,28,1007,1034,28,28,0,946.7595701886639,1323.5667051434611,12.315789222717283,19.894737243652344,307.5,340.0,0.7411278537511378
ML,ML_CTL_33_0001,CTL,33,27,788,818,31,27,0,1094.6938938522023,1651.259606224025,14.210526466369627,38.84210586547852,300.0,340.0,0.80918113697247
ML,ML_CTL_38_0008,CTL,38,27,931,957,27,15,0,6505.575321347224,7292.863871833536,29.36842155456543,31.263158798217773,267.5,275.0,0.7700966533740877
ML,ML_CTL_54_0005,CTL,54,27,872,899,28,27,0,1059.8588208496508,1454.821327110716,14.210526466369627,25.578947067260746,302.5,347.5,0.7626864283453421
ML,ML_CTL_47_0006,CTL,47,25,874,898,25,25,0,1062.5679200452885,1800.8882487031578,18.0,19.894737243652344,262.5,310.0,0.7241821007888428
ML,ML_GGW_104_0002,GGW,104,25,776,800,25,0,0,,,38.84210586547852,42.6315803527832,260.0,275.0,0.7888600774804122
ML,ML_CTL_35_0013,CTL,35,24,1016,1039,24,24,0,1058.5604085718599,1428.0262455471905,18.0,25.578947067260746,305.0,335.0,0.765983083567464
ML,ML_CTL_47_0010,CTL,47,24,906,929,24,24,0,1031.3408567891342,2483.1729746411906,14.210526466369627,29.36842155456543,325.0,352.5,0.7054080900711132
ML,ML_CTL_53_0007,CTL,53,24,949,974,26,24,0,880.0405442090787,1171.3700844077084,16.105262756347656,19.894737243652344,305.0,340.0,0.7584647476546301
ML,ML_GGW_102_0009,GGW,102,24,936,959,24,20,0,939.9300693949508,2965.007986376955,38.84210586547852,44.52631759643555,325.0,330.0,0.7680210117420975
ML,ML_GGW_109_0008,GGW,109,24,904,927,24,23,0,2521.671164734661,3200.103222273032,36.94736862182617,40.73684310913086,272.5,275.0,0.7778884063834379
ML,ML_CTL_48_0011,CTL,48,51,973,1023,51,40,1,764.5578868567267,2305.6775790037727,14.210526466369627,48.31578826904297,297.5,345.0,0.8361181337375964
ML,ML_GGW_96_0012,GGW,96,48,915,962,48,37,1,794.1836376258472,1364.7248382240934,12.315789222717283,33.157894134521484,262.5,322.5,0.7643083052616516
ML,ML_CTL_51_0013,CTL,51,32,880,911,32,28,1,789.1295854366512,2024.5329111537228,16.105262756347656,21.789474487304688,0.0,357.5,0.7182367229471867
ML,ML_CTL_53_0008,CTL,53,27,984,1011,28,27,1,790.9866373228634,1434.8593749408672,16.105262756347656,31.263158798217773,300.0,325.0,0.7804347848669398
ML,ML_CTL_39_0014,CTL,39,26,962,987,26,26,1,764.085030536713,2100.562031999848,18.0,21.789474487304688,322.5,357.5,0.6537488965579459
ML,ML_GGW_92_0007,GGW,92,25,901,934,34,23,1,780.8551198795893,1450.362472048028,16.105262756347656,27.47368431091309,312.5,340.0,0.7113453373630462
ML,ML_CTL_48_0014,CTL,48,43,1043,1085,43,43,2,680.7929482572462,1151.1805888381164,16.105262756347656,33.157894134521484,280.0,320.0,0.8357763351722438
ML,ML_CTL_57_0012,CTL,57,40,1008,1047,40,40,2,705.0706192890491,1549.8732010627434,16.105262756347656,42.6315803527832,297.5,322.5,0.8955706005701949
ML,ML_CTL_35_0002,CTL,35,38,795,835,41,32,2,631.1552853047807,1673.8865358787427,14.210526466369627,25.578947067260746,282.5,330.0,0.7406903674752382
ML,ML_GGW_94_0003,GGW,94,36,777,813,37,28,2,683.1955378639857,1354.3721882627717,14.210526466369627,33.157894134521484,295.0,342.5,0.7549367252182662
ML,ML_GGW_96_0017,GGW,96,33,1021,1053,33,33,2,518.1048943467227,1896.4273571412282,19.894737243652344,35.05263137817383,307.5,345.0,0.7930355003035411
ML,ML_CTL_53_0010,CTL,53,30,1029,1058,30,29,2,760.3472799116821,1578.9341750920462,14.210526466369627,21.789474487304688,277.5,317.5,0.7235453147959353
ML,ML_GGW_91_0018,GGW,91,25,1064,1091,28,17,2,642.548138639298,1352.5806310550488,12.315789222717283,19.894737243652344,297.5,332.5,0.7083753824397857
ML,ML_GGW_99_0009,GGW,99,24,1014,1040,27,19,2,762.8490086438218,969.2521179384818,14.210526466369627,19.894737243652344,310.0,335.0,0.7173207675757184
ML,ML_GGW_108_0004,GGW,108,24,780,803,24,23,2,719.6854982111827,2305.2019108242566,10.421052932739258,16.105262756347656,280.0,322.5,0.7069719309709047
ML,ML_CTL_33_0007,CTL,33,43,946,988,43,43,3,570.1992065123784,1651.4625774993133,16.105262756347656,27.47368431091309,282.5,332.5,0.7491896928902586
ML,ML_CTL_57_0005,CTL,57,39,871,909,39,30,3,619.2104726947513,1428.7397778117536,33.157894134521484,42.6315803527832,287.5,320.0,0.8309441528036294
ML,ML_CTL_39_0002,CTL,39,29,745,773,29,29,3,655.7007564587825,1104.5720448339832,18.0,29.36842155456543,302.5,330.0,0.8078381623099101
ML,ML_CTL_39_0017,CTL,39,26,990,1016,27,26,3,738.5983500098058,1779.2327951375144,21.789474487304688,31.263158798217773,317.5,345.0,0.730779075497738
ML,ML_CTL_53_0004,CTL,53,26,808,838,31,26,3,474.67051932571036,1181.5986929484154,14.210526466369627,29.36842155456543,300.0,335.0,0.815465776108915
ML,ML_GGW_97_0011,GGW,97,42,941,982,42,40,4,669.1561651219434,1258.5900380682222,14.210526466369627,33.157894134521484,282.5,335.0,0.7383735232931686
ML,ML_CTL_37_0009,CTL,37,32,934,966,33,32,4,572.6171503073314,1494.371998919571,31.263158798217773,42.6315803527832,282.5,320.0,0.8217453925930762
