method,global_track_id,experiment,year,n_points,start,end,duration,compared,near_count,min_nearest_km,mean_nearest_km,lat_min,lat_max,lon_min,lon_max,prob_mean
OWZ,OWZ_CTL_31_0106,CTL,31,50,850,899,50,49,0,1034.7727217819431,2247.5594965977234,12.51513671875,20.5151424407959,262.8445129394531,333.6685791015625,
OWZ,OWZ_CTL_51_0229,CTL,51,44,983,1026,44,39,0,1071.5718589853363,1868.0715582592402,15.215658187866213,23.895166397094727,268.9241027832031,317.61529541015625,
OWZ,OWZ_CTL_37_0164,CTL,37,41,1000,1040,41,7,0,1738.700298967171,2089.428376722719,31.44419860839844,41.56239318847656,307.3338317871094,334.0284729003906,
OWZ,OWZ_CTL_54_0111,CTL,54,41,845,885,41,29,0,1092.1298194418625,3344.456308519541,13.374692916870115,19.387882232666016,279.21728515625,341.395263671875,
OWZ,OWZ_GGW_92_0126,GGW,92,41,991,1031,41,38,0,807.608441917224,1024.1031409991551,15.138174057006836,35.38294219970703,312.4144897460937,347.99371337890625,
OWZ,OWZ_CTL_33_0088,CTL,33,40,784,823,40,27,0,1094.6938938522023,1651.259606224025,11.86911392211914,33.86085510253906,0.4310053586959839,357.07598876953125,
OWZ,OWZ_CTL_47_0122,CTL,47,39,868,906,39,33,0,1062.5679200452885,1879.4155626800682,18.329151153564453,21.576351165771484,262.31884765625,343.3453369140625,
OWZ,OWZ_CTL_38_0085,CTL,38,38,869,906,38,6,0,1234.158285266449,1377.7351803341262,11.500207901000977,21.531295776367188,283.0931701660156,344.319580078125,
OWZ,OWZ_CTL_54_0164,CTL,54,37,996,1032,37,27,0,1582.9737828932277,2405.319990788558,13.420618057250977,19.05299568176269,281.8652038574219,345.128662109375,
OWZ,OWZ_GGW_97_0175,GGW,97,37,910,946,37,25,0,2554.3926971125375,3936.116592458586,30.84381484985352,42.28475570678711,290.9204406738281,304.8558959960937,
OWZ,OWZ_GGW_113_0136,GGW,113,36,947,982,36,17,0,4381.335431238656,4760.411002855676,24.98485946655273,34.806278228759766,264.57275390625,283.8023681640625,
OWZ,OWZ_CTL_41_0168,CTL,41,34,982,1015,34,10,0,947.008929197816,1276.4602086345114,14.474063873291016,37.468658447265625,275.2672119140625,307.19366455078125,
OWZ,OWZ_CTL_32_0179,CTL,32,33,1020,1052,33,9,0,3471.8531576935156,3785.9085447465654,29.42894554138184,39.76587677001953,287.6137084960937,314.50634765625,
OWZ,OWZ_CTL_53_0107,CTL,53,33,947,979,33,24,0,880.0405442090787,1171.3700844077084,12.231414794921877,19.94390869140625,311.2570495605469,352.99444580078125,
OWZ,OWZ_GGW_94_0168,GGW,94,33,977,1009,33,29,0,830.8284565476258,2392.344897705653,18.285171508789062,26.87430953979492,276.06414794921875,304.7343139648437,
OWZ,OWZ_CTL_53_0115,CTL,53,32,992,1023,32,30,0,2593.676530663844,2902.264222604329,35.44786071777344,43.957763671875,324.57440185546875,333.3146057128906,
OWZ,OWZ_CTL_36_0167,CTL,36,31,935,965,31,8,0,3040.9693718823323,3462.2589650660925,29.69129180908203,33.19090270996094,301.277587890625,312.10955810546875,
OWZ,OWZ_CTL_38_0111,CTL,38,31,1011,1041,31,11,0,847.8081737335178,1314.9573627243233,12.40311050415039,20.06591415405273,305.7935791015625,344.0211181640625,
OWZ,OWZ_CTL_51_0137,CTL,51,31,743,773,31,26,0,1296.2450591595243,3037.4717679238474,15.345115661621094,21.09775924682617,261.26708984375,314.8869323730469,
OWZ,OWZ_CTL_55_0177,CTL,55,31,1033,1063,31,0,0,,,14.520462036132812,25.464778900146484,271.3477783203125,308.2606811523437,
OWZ,OWZ_GGW_103_0092,GGW,103,31,910,940,31,27,0,3118.55263795385,3543.0074456881334,22.720054626464844,27.540023803710938,271.64166259765625,286.1454467773437,
OWZ,OWZ_CTL_35_0161,CTL,35,30,966,995,30,17,0,994.8193815112742,2865.256526604115,25.28002548217773,32.41443634033203,284.6220092773437,294.66387939453125,
OWZ,OWZ_CTL_35_0176,CTL,35,30,1012,1041,30,28,0,980.6827329057228,1371.5743986171178,10.92205047607422,15.854641914367676,290.9023742675781,326.531005859375,
OWZ,OWZ_GGW_105_0157,GGW,105,30,917,946,30,24,0,1635.6944765921328,2653.0221655049622,35.03169631958008,45.276702880859375,305.82080078125,329.970703125,
OWZ,OWZ_CTL_47_0180,CTL,47,29,1062,1090,29,23,0,1758.5298292916061,2827.6931968718122,12.528051376342772,17.074216842651367,277.2705078125,336.1854248046875,
OWZ,OWZ_CTL_53_0073,CTL,53,29,810,838,29,24,0,912.666573938938,1300.7812441549513,14.122228622436523,18.318449020385746,305.71514892578125,349.9207763671875,
OWZ,OWZ_CTL_54_0115,CTL,54,29,857,885,29,28,0,872.9921937218343,1957.9955305384497,10.497875213623049,17.270851135253906,309.8788146972656,347.4900207519531,
OWZ,OWZ_GGW_92_0071,GGW,92,29,724,752,29,0,0,,,12.522577285766602,19.85185813903809,263.1990051269531,299.470458984375,
OWZ,OWZ_CTL_35_0128,CTL,35,28,869,896,28,28,0,3329.7819821094827,3827.4100420095792,35.12584686279297,44.12152099609375,306.337646484375,333.427001953125,
OWZ,OWZ_CTL_38_0097,CTL,38,28,943,970,28,22,0,1054.2536256000676,4366.773549382359,12.424935340881348,17.99201202392578,312.61639404296875,347.6171264648437,
