method,experiment,year,n_tracks_jas_na,n_genesis_mdr,n_track_points,n_track_points_mdr,n_track_points_box1,n_track_points_box2
ML,CTL,31,10,4,163,78,28,76
ML,CTL,32,12,5,147,68,11,68
ML,CTL,33,9,4,149,56,18,69
ML,CTL,34,9,6,144,67,1,76
ML,CTL,35,15,8,287,123,75,124
ML,CTL,36,17,6,239,79,39,96
ML,CTL,37,11,7,211,102,69,81
ML,CTL,38,13,6,156,66,10,61
ML,CTL,39,25,11,489,165,89,239
ML,CTL,40,19,9,402,150,126,172
ML,CTL,41,14,8,173,109,16,100
ML,CTL,42,9,4,118,64,5,64
ML,CTL,43,14,7,240,103,82,94
ML,CTL,44,16,11,343,172,110,161
ML,CTL,45,10,4,121,39,33,33
ML,CTL,46,20,7,321,122,74,106
ML,CTL,47,18,11,342,174,95,157
ML,CTL,48,15,11,337,187,94,189
ML,CTL,49,10,3,129,44,20,44
ML,CTL,50,15,5,244,80,54,67
ML,CTL,51,25,13,544,233,98,245
ML,CTL,52,13,6,215,107,16,110
ML,CTL,53,13,8,230,130,39,134
ML,CTL,54,12,11,161,140,26,133
ML,CTL,55,9,4,111,38,4,43
ML,CTL,56,13,7,161,87,8,101
ML,CTL,57,13,6,227,84,23,94
ML,CTL,58,12,5,143,60,17,71
ML,CTL,59,13,3,188,33,6,55
ML,CTL,60,11,6,229,77,54,93
ML,GGW,90,19,12,380,161,64,199
ML,GGW,91,18,6,253,94,44,92
ML,GGW,92,16,8,275,68,59,135
ML,GGW,93,17,7,241,104,34,115
ML,GGW,94,19,11,289,135,66,144
ML,GGW,95,15,9,188,73,39,94
ML,GGW,96,22,13,393,198,117,189
ML,GGW,97,21,9,377,139,80,154
ML,GGW,98,8,8,160,102,48,101
ML,GGW,99,10,8,157,119,24,118
ML,GGW,101,23,14,441,201,92,215
ML,GGW,102,10,2,168,42,39,36
ML,GGW,103,17,8,271,88,57,86
ML,GGW,104,13,7,305,132,47,160
ML,GGW,105,16,10,263,122,23,166
ML,GGW,106,7,3,102,33,34,31
ML,GGW,107,19,11,356,156,121,123
ML,GGW,108,31,15,461,206,87,211
ML,GGW,109,24,7,440,153,102,143
ML,GGW,110,11,6,180,84,5,114
ML,GGW,111,19,9,374,148,105,149
ML,GGW,112,12,7,200,88,13,119
ML,GGW,113,14,3,179,49,31,57
ML,GGW,114,12,7,239,91,83,80
ML,GGW,115,14,8,288,96,50,139
ML,GGW,116,23,10,404,147,72,196
ML,GGW,117,17,9,362,139,59,168
ML,GGW,118,12,6,174,76,36,92
ML,GGW,119,14,12,215,154,19,176
OWZ,CTL,31,18,4,261,90,21,86
OWZ,CTL,32,32,6,404,129,27,136
OWZ,CTL,33,33,4,447,132,38,144
OWZ,CTL,34,29,7,299,102,21,106
OWZ,CTL,35,33,11,477,192,104,178
OWZ,CTL,36,36,7,444,137,44,152
OWZ,CTL,37,31,3,525,122,94,113
OWZ,CTL,38,27,4,387,154,75,145
OWZ,CTL,39,54,13,685,177,125,258
OWZ,CTL,40,29,8,465,161,136,170
OWZ,CTL,41,31,8,383,135,35,129
OWZ,CTL,42,26,8,300,100,58,94
OWZ,CTL,43,42,7,532,143,86,160
OWZ,CTL,44,29,6,409,138,120,154
OWZ,CTL,45,23,1,265,70,45,70
OWZ,CTL,46,34,7,535,180,125,163
OWZ,CTL,47,32,9,475,186,112,180
OWZ,CTL,48,29,12,463,193,130,214
OWZ,CTL,49,27,2,289,75,26,77
OWZ,CTL,50,30,5,381,143,82,136
OWZ,CTL,51,40,13,594,219,157,242
OWZ,CTL,52,33,3,487,154,60,178
OWZ,CTL,53,24,9,374,174,40,194
OWZ,CTL,54,38,10,544,278,105,244
OWZ,CTL,55,27,5,310,105,30,113
OWZ,CTL,56,21,4,226,53,11,56
OWZ,CTL,57,34,9,446,161,46,166
OWZ,CTL,58,26,4,317,101,34,97
OWZ,CTL,59,35,2,469,74,20,92
OWZ,CTL,60,37,10,479,204,59,205
OWZ,GGW,90,33,9,553,268,68,296
OWZ,GGW,91,33,7,370,97,67,97
OWZ,GGW,92,31,10,411,162,94,172
OWZ,GGW,93,30,8,377,128,46,157
OWZ,GGW,94,30,10,440,145,103,156
OWZ,GGW,95,30,8,371,125,47,137
OWZ,GGW,96,40,9,595,216,164,195
OWZ,GGW,97,42,11,658,219,125,233
OWZ,GGW,98,34,14,484,245,80,249
OWZ,GGW,99,25,7,294,102,56,104
OWZ,GGW,101,45,14,679,266,109,290
OWZ,GGW,102,40,9,417,128,77,124
OWZ,GGW,103,29,8,451,166,111,168
OWZ,GGW,104,33,8,512,180,78,232
OWZ,GGW,105,34,6,440,179,24,182
OWZ,GGW,106,24,3,336,113,51,114
OWZ,GGW,107,31,12,476,239,134,229
OWZ,GGW,108,51,17,673,251,132,283
OWZ,GGW,109,29,7,513,164,154,161
OWZ,GGW,110,23,7,338,154,29,174
OWZ,GGW,111,28,8,411,174,74,183
OWZ,GGW,112,29,8,467,207,58,208
OWZ,GGW,113,34,5,457,88,115,75
OWZ,GGW,114,37,7,509,155,85,153
OWZ,GGW,115,30,10,413,137,82,181
OWZ,GGW,116,35,10,619,239,129,260
OWZ,GGW,117,35,6,541,208,87,216
OWZ,GGW,118,30,7,362,128,23,123
OWZ,GGW,119,31,8,436,192,50,192
