lead_h,model,kernel,n_train,n_test,ate_mean_km,ate_median_km
6,persistence_motion,baseline,2500,1611,26.093945411548763,22.264265101089162
6,linear_regression,linear,2500,1611,25.057130504245006,20.26161513170301
6,SVR,linear,2500,1611,25.20733370495498,20.226183120204528
6,SVR,rbf,2500,1611,34.00129748640599,26.878673580320708
6,SVR,poly,2500,1611,43.2583297911263,36.03689910976418
6,SVR,sigmoid,2500,1611,120.9278471325221,74.73571724627755
12,persistence_motion,baseline,2500,1542,65.6378625932653,54.4529472982126
12,linear_regression,linear,2500,1542,60.602787180641634,51.37796761632906
12,SVR,linear,2500,1542,61.01719599619034,50.31602084197826
12,SVR,rbf,2500,1542,78.33708035195822,64.16048988507153
12,SVR,poly,2500,1542,93.240928111137,78.6672294473754
12,SVR,sigmoid,2500,1542,127.32464710796928,93.31175918268761
18,persistence_motion,baseline,2500,1474,114.99959889724018,96.15625775399204
18,linear_regression,linear,2500,1474,103.77566775119855,86.45516646711388
18,SVR,linear,2500,1474,104.90894947629809,86.90016239127203
18,SVR,rbf,2500,1474,131.09050532937206,109.22480527270233
18,SVR,poly,2500,1474,146.10799489108476,123.95168571109454
18,SVR,sigmoid,2500,1474,147.12662113333823,124.35779745897997
24,persistence_motion,baseline,2500,1411,171.8044114837789,143.31128410216766
24,linear_regression,linear,2500,1411,153.9695630740699,129.15212606805957
24,SVR,linear,2500,1411,155.79779451813874,128.46922708163103
24,SVR,rbf,2500,1411,185.37307522779062,154.38935126828153
24,SVR,poly,2500,1411,203.58379285260477,175.53554894853153
24,SVR,sigmoid,2500,1411,180.94183589318408,149.85785886254718
